"","�..","Official.Name.of.Satellite","Country.Organization.of.UN.Registry","Operator.Owner","Country.of.Operator.Owner","Users","Purpose","Detailed.Purpose","Class.of.Orbit","Type.of.Orbit","Longitude.of.Geosynchronous.Orbit..Degrees.","Perigee..Kilometers.","Apogee..Kilometers.","Eccentricity","Inclination..Degrees.","Period..Minutes.","Launch.Mass..Kilograms.","Dry.Mass..Kilograms.","Power..Watts.","Date.of.Launch","Expected.Lifetime..Years.","Contractor","Country.of.Contractor","Launch.Site","Launch.Vehicle","COSPAR.Number","NORAD.Number","launch.lng","launch.lat"
"1126",1126,"Superbird-B2","Japan","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",162.03,35779,35793,0.000166,0.01,"1436.09","4051","2160","5,400 (EOL)",2000-02-18,"10","Boeing Satellite Systems","USA","Guiana Space Center","Ariane 44L","2000-012A",26095,-52.76898,5.21603
"1127",1127,"Suzaku","Japan","Japan Aerospace Exploration Agency (JAXA)/NASA","Japan/USA","Government","Space Science","","LEO","Non-Polar Inclined",0,548,558,0.000722,31.4,"95.7","1600","","500",2005-07-10,"5","Japan Aerospace Exploration Agency (JAXA)","Japan","Uchinoura Space Center","M5","2005-025A",28773,139.75309,35.68536
"1128",1128,"SWARM-A","ESA","European Space Agency (ESA)","ESA","Government","Earth Observation","Earth Science","LEO","Polar",0,473,476,0.000219,87.3,"93.9","468","369","608",2013-11-22,"4","Astrium","France","Plesetsk Cosmodrome","Rokot","2013-067B",39452,2,46
"1129",1129,"SWARM-B","ESA","European Space Agency (ESA)","ESA","Government","Earth Observation","Earth Science","LEO","Polar",0,473,476,0.000219,87.3,"93.9","468","369","608",2013-11-22,"4","Astrium","France","Plesetsk Cosmodrome","Rokot","2013-067A",39451,2,46
"1130",1130,"SWARM-C","ESA","European Space Agency (ESA)","ESA","Government","Earth Observation","Earth Science","LEO","Polar",0,486,496,0.000729,87.5,"94","468","369","608",2013-11-22,"4","Astrium","France","Plesetsk Cosmodrome","Rokot","2013-067C",39453,2,46
"1131",1131,"Swayam","NR","College of Engineering, Pune","India","Civil","Technology Development","","LEO","Sun-Synchronous",0,500,518,0.00131,97.5,"94.7","1","","",2016-06-22,"","College of Engineering, Pune","India","Satish Dhawan Space Center","PSLV XL","2016-040J",41607,79,22
"1132",1132,"Swift","USA","Goddard Space Flight Center/Penn State University","USA/United Kingdom/Italy","Government/Civil","Space Science","","LEO","Non-Polar Inclined",0,571,590,0.00137,20.6,"96.3","1463","","1040",2004-11-20,"7","Spectrum Astro (General Dynamics)","USA","Cape Canaveral","Delta 7320","2004-047A",28485,-80.53311,28.45861
"1133",1133,"SwissCube","NR","Ecole Polytechnique F√å¬©d√å¬©rale de Lausanne (EPFL)","Switzerland","Civil","Technology Development","","LEO","Sun-Synchronous",0,710,720,0.000706,98.3,"99.1","1","","",2009-09-23,".25-1 yr.","Ecole Polytechnique F√å¬©d√å¬©rale de Lausanne (EPFL)","Switzerland","Satish Dhawan Space Center","PSLV","2009-051B",35932,8.01427,47.00016
"1134",1134,"Syracuse 3A","France","Defense Ministry","France","Military","Communications","","GEO","",47.05,35778,35792,0.000166,0,"1436.06","3725","1650","5640",2005-10-13,"12","Alcatel Alenia Space","France/Italy","Guiana Space Center","Ariane 5","2005-041B",28885,-52.76898,5.21603
"1135",1135,"Syracuse 3B","France","Defense Ministry","France","Military","Communications","","GEO","",-5.17,35772,35801,0.000344,0.03,"1436.09","3750","1658","",2006-08-11,"12","Alcatel Alenia Space","France/Italy","Guiana Space Center","Ariane 5","2006-033B",29273,-52.76898,5.21603
"1136",1136,"TacSat 4","USA","Naval Research Laboratory","USA","Military","Technology Development","","Elliptical","Molniya",0,658,11836,0.443,63.64,"235.16","450","","1000",2011-09-27,"","Naval Research Laboratory/Johns Hopkins University Applied Physics Laboratory","USA","Kodiak Launch Complex","Minotaur 4","2011-052A",37818,-152.34472,57.43033
"1137",1137,"TacSat 6","NR","Operational Responsive Space (ORS) Office","USA","Military","Technology Development","","LEO","Polar",0,443,886,0.0315,120.3,"98","","","",NA,"","Air Force Research Laboratory (AFRL)","USA","Vandenberg AFB","Atlas 5","2013-072M",39473,-120.53757,34.75046
"1138",1138,"TanDEM-X","Germany","German Aerospace Center (DLR)/Astrium","Germany","Government","Earth Observation","Radar Imaging","LEO","Sun-Synchronous",0,507,510,0.000218,97.4,"94.8","1350","","",2010-06-21,"5","EADS Astrium","France/UK/Germany/Spain","Baikonur Cosmodrome","Dnepr","2010-030A",36605,63.30091,46.00573
"1139",1139,"Tango","ESA","European Space Agency (and 250 international scientific investigators)","ESA","Government","Space Science","","Elliptical","Deep Highly Eccentric",0,17313,120961,0.686,90.7,"3442","1200","478","220",2000-08-09,"4","Dornier Systems (Astrium) and 35 subcontractors","International","Baikonur Cosmodrome","Soyuz","2000-045B",26464,63.30091,46.00573
"1140",1140,"TDRS-10","USA","National Aeronautics and Space Administration (NASA)","USA","Government","Communications","","GEO","",-40.75,35768,35802,0.000403,1.64,"1436.04","3180","1600","2,300 (EOL)",2002-12-04,"11","Boeing Satellite Systems","USA","Cape Canaveral","Atlas 2A","2002-055A",27566,-80.53311,28.45861
"1141",1141,"TDRS-11","USA","National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center","USA","Government","Communications","","GEO","",-171,35732,35844,0.00133,7,"1436.18","3454","1600","2,300 (EOL)",2013-01-31,"15","Boeing Satellite Systems","USA","Cape Canaveral","Atlas 5","2013-004A",39070,-80.53311,28.45861
"1142",1142,"TDRS-12","USA","National Aeronautics and Space Administration (NASA)","USA","Government","Communications","","GEO","",NA,35780,35785,5.93e-05,6.99,"1435.88","3454","1600","3,500 (EOL)",2014-01-23,"15","Boeing Satellite Systems","USA","Cape Canaveral","Atlas 5","2014-004A",39504,-80.53311,28.45861
"1143",1143,"TDRS-3","USA","National Aeronautics and Space Administration (NASA)","USA","Government","Communications","","GEO","",84.41,35693,35878,0.00219,11.53,"1436.06","3180","1600","1800",1988-09-29,"10","TRW Defense and Space Systems Group","USA","Cape Canaveral","Space Shuttle (STS 26)","1988-091B",19548,-80.53311,28.45861
"1144",1144,"TDRS-5","USA","SES Americom (SES [Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES)])","USA","Government/Commercial","Communications","","GEO","",-167.14,35773,35796,0.000273,9.4,"1436.99","3180","1600","1800",1991-08-02,"10","TRW Defense and Space Systems Group","USA","Cape Canaveral","Space Shuttle (STS 43)","1991-054B",21639,-80.53311,28.45861
"1145",1145,"TDRS-6","USA","NASA/SES Americom (SES [Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES)])","USA","Government/Commercial","Communications","","GEO","",-171.35,35773,35787,0.000166,8.74,"1435.7","3180","1600","1800",1993-01-13,"10","TRW Defense and Space Systems Group","USA","Cape Canaveral","Space Shuttle (STS 54)","1993-003B",22314,-80.53311,28.45861
"1146",1146,"TDRS-7","USA","National Aeronautics and Space Administration (NASA)","USA","Government","Communications","","GEO","",-150.53,35767,35803,0.000427,10.6,"1436.04","3180","1600","1800",1995-07-13,"10","TRW Defense and Space Systems Group","USA","Cape Canaveral","Space Shuttle (STS 70)","1995-035B",23613,-80.53311,28.45861
"1147",1147,"TDRS-8","USA","National Aeronautics and Space Administration (NASA)","USA","Government","Communications","","GEO","",88.76,35768,35808,0.000474,0.9,"1436.2","3180","1600","2,300 (EOL)",2000-06-30,"11","Boeing Satellite Systems","USA","Cape Canaveral","Atlas 2A","2000-034A",26388,-80.53311,28.45861
"1148",1148,"TDRS-9","USA","National Aeronautics and Space Administration (NASA)","USA","Government","Communications","","GEO","",-62.43,35768,35809,0.000486,0.02,"1436.11","3180","1600","2,300 (EOL)",2002-03-08,"11","Boeing Satellite Systems","USA","Cape Canaveral","Atlas 2A","2002-011A",27389,-80.53311,28.45861
"1149",1149,"TechDemoSat-1","United Kingdom","Technology Strategy Board","United Kingdom","Government","Technology Development","","LEO","Sun-Synchronous",0,625,631,0.000429,98.4,"97.27","150","","",2014-07-08,"","Surrey Satellite Technology Ltd. (SSTL)","United Kingdom","Baikonur Cosmodrome","Soyuz-2.1b","2014-037H",40076,63.30091,46.00573
"1150",1150,"TecSAR","NR","Defense Ministry","Israel","Military","Earth Observation","Radar Imaging","LEO","Non-Polar Inclined",0,405,580,0.0128,41.03,"94.5","300","260","",2008-01-21,"","Israel Aerospace Industries (IAI)","Israel","Satish Dhawan Space Center","PSLV C10","2008-002A",32476,34.75,31.5
"1151",1151,"TeLEOS 1","NR","AgilSpace","Singapore","Commercial","Earth Observation","Optical Imaging","LEO","Equatorial",0,535,550,0.00108,15,"95.5","400","","",2015-12-16,"5","ST Electronics Ltd.","Singapore","Satish Dhawan Space Center","PSLV C29","2015-077D",41169,103.85007,1.28967
"1152",1152,"Telkom 1","Indonesia","PT Telkomunikasi","Indonesia","Commercial","Communications","","GEO","",108.01,35778,35796,0.000213,0.02,"1436.13","2763","1,700 (BOL)","4000",1999-08-12,"15","Lockheed Martin Missiles and Space","USA","Guiana Space Center","Ariane 44P","1999-042A",25880,-52.76898,5.21603
"1153",1153,"Telkom 2","Indonesia","PT Telkomunikasi","Indonesia","Commercial","Communications","","GEO","",118.02,35781,35793,0.000142,0.04,"1436.1","1930","899","",2005-11-16,"15","Orbital Sciences Corp.","USA","Guiana Space Center","Ariane 5 ECA","2005-046A",28902,-52.76898,5.21603
"1154",1154,"Telstar 11N","NR","Telesat Canada Ltd. (BCE, Inc.)","Canada","Commercial","Communications","","GEO","",-37.05,35774,35801,0.00032,0.04,"1436.13","4010","","",2009-02-26,"15","Space Systems/Loral","USA","Sea Launch (Odyssey)","Zenit 3SLB","2009-009A",34111,-57.65625,-14.60485
"1155",1155,"Telstar 12","USA","Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ","Multinational","Commercial","Communications","","GEO","",-14.99,35773,35799,0.000308,0.05,"1436.09","3878","1900","10600",1999-10-19,"13","Space Systems/Loral","USA","Guiana Space Center","Ariane 44LP","1999-059A",25949,-52.76898,5.21603
"1156",1156,"Telstar 12V","NR","Telesatd Canada Ltd. (BCE, Inc.)","Canada","Commercial","Communications","","GEO","",-15,35645,35727,0.000975,0.1,"1436.1","4900","","",2015-11-24,"15","Airbus Defense and Space","France/UK/Germany/Spain","Tanegashima Space Center","H-2A","2015-068A",41036,130.97353,30.40318
"1157",1157,"Telstar 14R","Brazil","Telesat Canada Ltd. (BCE, Inc.)","Canada","Commercial","Communications","","GEO","",-63,35783,35791,9.49e-05,0.02,"1436.1","4970","2150","12000",2011-05-20,"15","Space Systems/Loral","USA","Baikonur Cosmodrome","Proton","2011-021A",37602,63.30091,46.00573
"1158",1158,"Telstar 18","NR","Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd.","Multinational","Commercial","Communications","","GEO","",138.04,35778,35795,0.000202,0.01,"1436.1","4640","2500","16,000 (EOL)",2004-06-29,"13","Space Systems/Loral","USA","Sea Launch (Odyssey)","Zenit 3SL","2004-024A",28364,-57.65625,-14.60485
"1159",1159,"Terra","USA","Earth Sciences Enterprise (NASA)","USA/Canada/Japan","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,702,703,7.07e-05,98.2,"98.8","4854","","2530",1999-12-18,"6","Lockheed Martin","USA","Vandenberg AFB","Atlas 2AS","1999-068A",25994,-120.53757,34.75046
"1160",1160,"TerraSAR X 1","Germany","German Aerospace Center (DLR)/Infoterra","Germany","Government/Commercial","Earth Observation","Radar Imaging","LEO","Sun-Synchronous",0,507,509,0.000145,97.5,"94.8","1230","","",2007-06-15,"5","EADS Astrium","France/UK/Germany/Spain","Baikonur Cosmodrome","Dnepr","2007-026A",31698,63.30091,46.00573
"1161",1161,"TerraStar 1","USA","TerraStar Corporation","USA","Commercial","Communications","","GEO","",-111,35783,35791,9.49e-05,5.94,"1436.11","6910","","",2009-07-01,"15","Space Systems/Loral","USA","Guiana Space Center","Ariane 5 ECA","2009-035A",35496,-52.76898,5.21603
"1162",1162,"TET-1","Germany","German Aerospace Center","Germany","Commercial","Technology Development","","LEO","Sun-Synchronous",0,501,505,0.000291,97.5,"94.7","120","","20",2012-07-22,"1 yr.","Kayser-Threde GmbH","Germany","Baikonur Cosmodrome","Soyuz-Fregat","2012-039D",38710,63.30091,46.00573
"1163",1163,"Thaicom-4","NR","Thaicom Public Company Ltd. ","Thailand","Commercial","Communications","","GEO","",119.5,35775,35798,0.000273,0,"1436.1","6505","","14000",2005-08-11,"12","Space Systems/Loral","USA","Guiana Space Center","Ariane 5G","2005-028A",28786,-52.76898,5.21603
"1164",1164,"Thaicom-5","NR","Thaicom Public Company Ltd. ","Thailand","Commercial","Communications","","GEO","",78.54,35777,35796,0.000225,0.04,"1436.1","2800","1220","5000",2006-05-27,"12","Alcatel Alenia Space","France","Guiana Space Center","Ariane 5 ECA","2006-020B",29163,-52.76898,5.21603
"1165",1165,"Thaicom-6","NR","Thaicom Public Company Ltd. ","Thailand","Commercial","Communications","","GEO","",78.5,35786,35796,0.000119,0.05,"1436.3","3325","","",2014-01-06,"15","Orbital Sciences Corp.","USA","Cape Canaveral","Falcon 9","2014-002A",39500,-80.53311,28.45861
"1166",1166,"Thaicom-8","NR","Thaicom Public Company Ltd. ","Thailand","Commercial","Communications","","GEO","",78.5,35843,35890,0.000556,0.03,"1440.09","3025","","",2016-05-27,"15","Orbital ATK","USA","Cape Canaveral","Falcon 9","2016-031A",41552,-80.53311,28.45861
"1167",1167,"THEMIS A","USA","NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)","Multinational","Government/Civil","Space Science","","Elliptical","",0,461,87304,0.864,15.7,"1868.98","126","77","40",2007-02-17,"2","Swales Aerospace","USA","Cape Canaveral","Delta 2","2007-004A",30580,-80.53311,28.45861
"1168",1168,"THEMIS D","USA","NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)","Multinational","Government/Civil","Space Science","","Elliptical","",0,467,87260,0.864,15.7,"1867.91","126","77","40",2007-02-17,"2","Swales Aerospace","USA","Cape Canaveral","Delta 2","2007-004D",30797,-80.53311,28.45861
"1169",1169,"THEMIS E","USA","NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)","Multinational","Government/Civil","Space Science","","Elliptical","",0,474,87526,0.864,15.7,"1875.53","126","77","40",2007-02-17,"2","Swales Aerospace","USA","Cape Canaveral","Delta 2","2007-004E",30798,-80.53311,28.45861
"1170",1170,"Theos","Thailand","Geo-Informatics and Space Technology Development Agency (GISTDA)","Thailand","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,824,826,0.000139,98.7,"101.4","750","670","840",2008-10-01,"5","EADS Astrium","France","Dombarovsky Air Base","Dnepr","2008-049A",33396,2,46
"1171",1171,"Thor-3","Norway","Telenor Satellite Broadcasting","Norway","Commercial","Communications","","GEO","",-4,35777,35795,0.000213,0.07,"1436.07","1400","646","1400",1998-06-10,"12","Boeing Satellite Systems","USA","Cape Canaveral","Delta 2","1998-035A",25358,-80.53311,28.45861
"1172",1172,"Thor-5 ","Norway","Telenor Satellite Broadcasting","Norway","Commercial","Communications","","GEO","",-0.72,35773,35798,0.000297,0.01,"1436.1","2024","","",2008-02-11,"15","Orbital Sciences Corp.","USA","Baikonur Cosmodrome","Proton M","2008-006A",32487,63.30091,46.00573
"1173",1173,"Thor-6","Norway","Telenor Satellite Broadcasting","Norway","Commercial","Communications","","GEO","",-1,35779,35794,0.000178,0.02,"1436.1","3050","","5900",2009-10-29,"15","Thales Alenia Space","France/Italy","Guiana Space Center","Ariane 5","2009-058B",36033,-52.76898,5.21603
"1174",1174,"Thor-7","Norway","Telenor Satellite Broadcasting","Norway","Commercial","Communications","","GEO","",-1,35727,35741,0.000166,0,"1433.4","4600","","",2015-04-26,"15","Space Systems/Loral","USA","Guiana Space Center","Ariane 5","2015-022A",40613,-52.76898,5.21603
"1175",1175,"Thuraya 2","United Arab Emirates","Thuraya Satellite Communications","United Arab Emirates","Commercial","Communications","","GEO","",44.13,35764,35807,0.00051,2.99,"1436.07","5250","3200","11000",2003-06-10,"12","Hughes Space and Communications Group","USA","Sea Launch (Odyssey)","Zenit 3SL","2003-026A",27825,-57.65625,-14.60485
"1176",1176,"Thuraya 3","United Arab Emirates","Thuraya Satellite Communications","United Arab Emirates","Commercial","Communications","","GEO","",98.6,35766,35807,0.000486,5.84,"1436.1","5180","","",2008-01-15,"12","Boeing Satellite Systems","USA","Sea Launch (Odyssey)","Zenit 3SL","2008-001A",32404,-57.65625,-14.60485
"1177",1177,"Tiangong-1","China","   Beijing Aerospace Flight Control Center","China","Government","Technology Development","","LEO","Non-Polar Inclined",0,360,361,7.43e-05,42.8,"91.8","8506","","",2011-09-29,"2","Chinese Academy of Space Technology (CAST)","China","Jiuquan Satellite Launch Center","Long March 2F","2011-053A",37820,105,35
"1178",1178,"Tianhui 1-01","China","China Aerospace Science and Technology Corporation (CASTC)","China","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,488,504,0.00117,97.4,"94.5","2500","","",2010-08-24,"","DFH√•√äSatellite√•√äCo.√•√äLtd.","China","Jiuquan Satellite Launch Center","Long March 2D","2010-040A",36985,105,35
"1179",1179,"Tianhui 1-02","China","China Aerospace Science and Technology Corporation (CASTC)","China","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,485,505,0.00146,97.4,"94.5","2500","","",2012-05-06,"","DFH Satellite Co. Ltd.","China","Jiuquan Satellite Launch Center","Long March 2D","2012-020A",38256,105,35
